row1,row2
86302840|7954251,2849030|14905213
41774903|86302843,7797780|7716789
16504961|7797792,2728987|15840484
16465271|23935760,23935763|508011750
531144190|39600454,7954237|2818790
7830860|3012817,7797525|7797524
7797520|531132853,62043560|69281378
62043559|17509466,531132868|53632849
7830833|17300517,531132876|3047318
531132873|88712684,2818929|531132880
531132881|94650393,531125285|531132815
14905001|531143716,531132807|531132805
2753052|531132820,531132825|16191662
531132819|59006392,14905224|26166589
531143978|15033965,531132848|15789704
531143720|531132838,531132334|86297955
2963884|531133205,531133203|14913731
18904139|7723887,17754525|17776134
18904131|14913720,2718151|2879211
531134951|531124916,15789680|531124919
18740859|531132799,14905064|531143698
531143696|3014320,17574763|14905073
69878965|531143685,531143684|18327878
16594503|86075092,28038186|2820586
531144152|71819227,15081368|29774481
40587299|531144172,12716795|531138917
8016732|20249604,7948844|87465811
531134333|531144143,531144145|49154594
1162735406|531136019,69742236|100000004
39225318|86302732,69742246|42166421
86302735|23910519,41917426|531151424
3103858|7338748,3151723|531144083
531144086|59422084,70483648|7830518
69718390|16191396,2817344|3143089
3051263|531144093,3012946|14919901
61519466|22938869,18042859|86959827
3023455|19341005,69221849|2837794
28271337|3088182,71546523|19007732
19007738|62263385,3012757|15169469
49900762|28271324,7765457|7765455
28271328|57008151,531138492|17761387
7706038|18601456,57444333|531144208
46376989|16303751,6887377|531089881
531089886|531134651,2970020|531144225
531089870|531089874,531089878|16191402
531144211|2852094,531134834|86889426
2852092|71901169,18686371|18686375
14905196|531120465,41642863|18686362
531134247|3051256,23909283|6819257
71546079|8011145,2973700|7802807
41826629|15081228,41122067|531144238
531144232|531144233,20525124|71546035
324234|23424,534535345|232342223
348583345|32414239235,1111111|2222222
